Icon,Name,Quote,Quality,Type,Magazine Size,Ammo Capacity,Damage,Fire Rate,Reload Time,Shot Speed,Range,Force,Spread,Notes
38 Special.png,38 Special,For The Inquisitive,D Quality Item.png,Semiautomatic,6,350,5,0.07,0.78,23,35,10,5,Fires faster right after a dodge roll.
A.W.P..png,A.W.P.,Noob Cannon,A Quality Item.png,Semiautomatic,10,60,40,1.20,2.1,100,Infinity.png,25,5,Fires bullets that can pierce through one enemy.
AK-47.png,AK-47,Accept No Substitutes,B Quality Item.png,Automatic,30,500,5.5,0.11,0.6,23,Infinity.png,9,4,
AKEY-47.png,AKEY-47,Unlocked And Loaded!,1S Quality Item.png,Automatic,30,500,5.5,0.11,0.6,23,Infinity.png,9a,4,Opening a locked chest or door with the gun equipped opens it for free. Alternatively shooting a locked chest or door unlocks it.
AU Gun.png,AU Gun,Some Assembly Required,1S Quality Item.png,Semiautomatic,1,22,100,0.20,1.2,25,Infinity.png,10,0,Fires a single powerful bullet.
Abyssal Tentacle.png,Abyssal Tentacle,Look Away,A Quality Item.png,Beam,500,500,22.5/s,0.10,N/A,Infinity.png,30,10,0,Fires a tentacle that homes in on and grips enemies damaging them.
Alien Engine.png,Alien Engine,The Dangerzone,B Quality Item.png,Automatic,400,1000,10,0.02,0.9,30,3,10,0,Rapid fire weapon that has a very short range only damaging enemies that come into contact with the muzzle flash. Enemies damaged have a chance to catch on fire. Extremely high recoil.
Alien Sidearm.png,Alien Sidearm,Shield Breaker,D Quality Item.png,Charged,10,350,Uncharged: 5 Charged: 25,0.15,1.2,23,15,10,5,Charged shots are larger and deal more damage.
Anvillain.png,Anvillain,Practical And Safe,C Quality Item.png,Charged,3,60,10,0.10,0.5,20,Infinity.png,8,5,Fires piercing anvils that knock back and stun enemies.
BSG.png,BSG,Big Shooty Gun,1S Quality Item.png,Charged,1,25,50,4.00,2.4,25,Infinity.png,10,0,Slowly charges up to fire a large high-damage projectile.
Bait Launcher.png,Bait Launcher,Meat Your Maker,C Quality Item.png,Charged,1,60,10,0.50,1.0,20,Infinity.png,8,5,Fires a steak that causes a tiger to appear and maul the target.
Balloon Gun.png,Balloon Gun,Hot Air,C Quality Item.png,Automatic,10,250,12,,,,,,,Fires small tornadoes. Grants flight while held but loses all ammo if damage is taken while it is held.
Banana.png,Banana,Planpain,C Quality Item.png,Charged,7,50,10 (impact) + 30 (explosion),1.00,0.01,23,Infinity.png,35,6,Fires an explosive banana that sends out three more bouncing explosive bananas.
Barrel.png,Barrel,Nothin' Easier,C Quality Item.png,Semiautomatic,9,300,8,0.20,0.78,20,Infinity.png,13,7,Fires fish that have a chance to stun enemies and leave pools of water.
Bee Hive.png,Bee Hive,Bzzzzzzz!,B Quality Item.png,Automatic,150,300,3,0.10,0.06,9,Infinity.png,2,90,Fires bees that home in on and damage enemies.
Betrayer's Shield.png,Betrayer's Shield,Actually A Gun,B Quality Item.png,Automatic,12,350,6,0.10,1.5,23,18,12,5,Upon reloading leaves a protective shield on the ground. Players in that area will be protected until the shield has absorbed a number of bullets.
Big Iron.png,Big Iron,Heavy,B Quality Item.png,Semiautomatic,6,150,7x3 (21),0.07,1.2,16,16,10,4,Fires a random spread of three bullets.
