Name,Quality,Damage,Notes
38 Special,D Quality Item.png,5,Fires faster right after a dodge roll.
A.W.P.,A Quality Item.png,40,Fires bullets that can pierce through one enemy.
AK-47,B Quality Item.png,5.5,
AKEY-47,1S Quality Item.png,5.5,Opening a locked chest or door with the gun equipped opens it for free. Alternatively shooting a locked chest or door unlocks it.
AU Gun,1S Quality Item.png,100,Fires a single powerful bullet.
Abyssal Tentacle,A Quality Item.png,22.5 per second,Fires a tentacle that homes in on and grips enemies damaging them.
Alien Engine,B Quality Item.png,10,Rapid fire weapon that has a very short range only damaging enemies that come into contact with the muzzle flash. Enemies damaged have a chance to catch on fire. Extremely high recoil.
Alien Sidearm,D Quality Item.png,Uncharged: 5 Charged: 25,Charged shots are larger and deal more damage.
Anvillain,C Quality Item.png,10,Fires piercing anvils that knock back and stun enemies.
BSG,1S Quality Item.png,50,Slowly charges up to fire a large high-damage projectile.
Bait Launcher,C Quality Item.png,10,Fires a steak that causes a tiger to appear and maul the target.
Balloon Gun,C Quality Item.png,12,Fires small tornadoes. Grants flight while held but loses all ammo if damage is taken while it is held.
Banana,C Quality Item.png,10 (impact) + 30 (explosion),Fires an explosive banana that sends out three more bouncing explosive bananas.
Barrel,C Quality Item.png,8,Fires fish that have a chance to stun enemies and leave pools of water.
Bee Hive,B Quality Item.png,3,Fires bees that home in on and damage enemies.
Betrayer's Shield,B Quality Item.png,6,Upon reloading leaves a protective shield on the ground. Players in that area will be protected until the shield has absorbed a number of bullets.
Big Iron,B Quality Item.png,7x3 (21),Fires a random spread of three bullets.
Black Hole Gun,A Quality Item.png,10,Fires black holes that attract enemies and enemy bullets.
Blasphemy,B Quality Item.png,14,Starting weapon of The Bullet. Swinging the sword destroys bullets and damages enemies. When at full health swinging the sword also sends out a piercing sword projectile. Does not reveal secret walls.
Blooper,B Quality Item.png,7x6 (42),Fires shotgun blasts of blue bullets with high knockback.
Blunderbuss,D Quality Item.png,3x10 (30),Fires a short-ranged spray of bullets.
Bow,C Quality Item.png,Uncharged: 7.5 Charged: 30,Pierces enemies when fully charged.
Brick Breaker,C Quality Item.png,10,Fires turtle shells which pierce through enemies and bounce off of walls.
Budget Revolver,N/A,6,Starting weapon of The Convict. Does not reveal secret walls.
Bullet,C Quality Item.png,Gun: 7 Bullet: 4,Fires rotating guns which fire bullets as they travel.
Bullet Bore,A Quality Item.png,10 (impact) + 25 (explosion),Fires drills that home in on enemies stun them and explode after a short delay.
Bundle of Wands,C Quality Item.png,7x3 (21),Has a chance to transmogrify enemies.
Buzzkill,C Quality Item.png,7,Fires piercing bouncing sawblades.
Cactus,C Quality Item.png,2.5,Fires needles.
Camera,C Quality Item.png,10,Damages all enemies in the room. Has a chance to stun enemies.
Casey,D Quality Item.png,100,Swinging the bat damages enemies and reflects nearby bullets. Does not reveal secret walls.
Cat Claw,A Quality Item.png,2 (impact) + 10 (explosion),Fires darts that home in on enemies and explode after a short delay. The darts deal no damage on contact.
Charge Shot,B Quality Item.png,30,Fires a large laser that pierces enemies and bounces off of walls.
